algorithm,seed,episode,day,dscr,dscr_below_1
Transformer+GAIL+TD3,192,5892,51,9.572632026051254,0
Transformer+GAIL+TD3,192,5892,52,5.467853509664293,0
Transformer+GAIL+TD3,192,5892,53,4.133661283536686,0
Transformer+GAIL+TD3,192,5892,54,5.306566356081592,0
Transformer+GAIL+TD3,192,5892,55,3.6190215407082875,0
Transformer+GAIL+TD3,192,5892,56,6.973178234954817,0
Transformer+GAIL+TD3,192,5892,57,6.180076835669066,0
Transformer+GAIL+TD3,192,5892,58,2.7815026063307395,0
Transformer+GAIL+TD3,192,5892,59,3.477501733773916,0
Transformer+GAIL+TD3,192,5892,60,35.21267605633802,0
Transformer+GAIL+TD3,192,5892,61,3.7159787419217456,0
Transformer+GAIL+TD3,192,5892,62,7.710668578993823,0
Transformer+GAIL+TD3,192,5892,63,3.424010609875642,0
Transformer+GAIL+TD3,192,5892,64,3.4319429303651003,0
Transformer+GAIL+TD3,192,5892,65,17.80737939727283,0
Transformer+GAIL+TD3,192,5892,66,2.8384996174086856,0
Transformer+GAIL+TD3,192,5892,67,51.96167621776504,0
Transformer+GAIL+TD3,192,5892,68,2.483392342527789,0
Transformer+GAIL+TD3,192,5892,69,5.6028664989796395,0
Transformer+GAIL+TD3,192,5892,70,12.292353932996116,0
Transformer+GAIL+TD3,192,5892,72,13.74041687849517,0
Transformer+GAIL+TD3,192,5892,73,2.095747352250403,0
Transformer+GAIL+TD3,192,5892,74,9.506314414283638,0
Transformer+GAIL+TD3,192,5892,75,3.1333100233100235,0
Transformer+GAIL+TD3,192,5892,76,165.610086100861,0
Transformer+GAIL+TD3,192,5892,77,4.656479807112718,0
Transformer+GAIL+TD3,192,5892,78,4.7001552575864505,0
Transformer+GAIL+TD3,192,5892,79,6.186475127463139,0
Transformer+GAIL+TD3,192,5892,80,2.91824386465947,0
Transformer+GAIL+TD3,192,5892,81,8.1495636913177,0
Transformer+GAIL+TD3,192,5892,82,3.894654264260899,0
Transformer+GAIL+TD3,192,5892,83,3.5408148822161563,0
Transformer+GAIL+TD3,192,5892,84,4.066868846507059,0
Transformer+GAIL+TD3,192,5892,85,5.15827027027027,0
Transformer+GAIL+TD3,192,5892,86,7.637705731535854,0
Transformer+GAIL+TD3,192,5892,87,3.2913713459571916,0
Transformer+GAIL+TD3,192,5892,88,4.766304347826086,0
Transformer+GAIL+TD3,192,5892,89,2.502648847149479,0
Transformer+GAIL+TD3,192,5892,90,4.629943583722329,0
Transformer+GAIL+TD3,192,5892,91,6.95822729586272,0
Transformer+GAIL+TD3,192,5892,92,8.046685819823518,0
Transformer+GAIL+TD3,192,5892,93,2.5200267507959815,0
Transformer+GAIL+TD3,192,5892,94,7.4554351305620346,0
Transformer+GAIL+TD3,192,5892,95,4.681706316652995,0
Transformer+GAIL+TD3,192,5892,96,2.6559514204424812,0
Transformer+GAIL+TD3,192,5892,97,182.33661202185792,0
Transformer+GAIL+TD3,192,5892,98,3.0370546589524965,0
Transformer+GAIL+TD3,192,5893,5,4.227393748151069,0
Transformer+GAIL+TD3,192,5893,6,17.33408493047726,0
Transformer+GAIL+TD3,192,5893,7,248.28030303030303,0
Transformer+GAIL+TD3,192,5893,8,18.980075187969927,0
Transformer+GAIL+TD3,192,5893,9,8.386178497896337,0
Transformer+GAIL+TD3,192,5893,10,7.454308645451985,0
Transformer+GAIL+TD3,192,5893,11,4.619428220104518,0
Transformer+GAIL+TD3,192,5893,12,4.416948674562888,0
Transformer+GAIL+TD3,192,5893,13,13.69393232205368,0
Transformer+GAIL+TD3,192,5893,14,10.544559624133043,0
Transformer+GAIL+TD3,192,5893,15,806.4148936170213,0
Transformer+GAIL+TD3,192,5893,16,529.1490683229814,0
Transformer+GAIL+TD3,192,5893,17,10.766704776422765,0
Transformer+GAIL+TD3,192,5893,18,15.276188064488903,0
Transformer+GAIL+TD3,192,5893,19,19.364079980956912,0
Transformer+GAIL+TD3,192,5893,20,7.376423062798384,0
Transformer+GAIL+TD3,192,5893,21,25.315171688857742,0
Transformer+GAIL+TD3,192,5893,22,6.959330943847073,0
Transformer+GAIL+TD3,192,5893,23,10.423887270510127,0
Transformer+GAIL+TD3,192,5893,24,11.322732626619551,0
Transformer+GAIL+TD3,192,5893,25,7.843089349820503,0
Transformer+GAIL+TD3,192,5893,26,6.990391518029708,0
Transformer+GAIL+TD3,192,5893,27,7.828994838208358,0
Transformer+GAIL+TD3,192,5893,28,4.292309714736427,0
Transformer+GAIL+TD3,192,5893,29,5.8056497175141235,0
Transformer+GAIL+TD3,192,5893,30,10.051591981132075,0
Transformer+GAIL+TD3,192,5893,31,4.684657921054179,0
Transformer+GAIL+TD3,192,5893,32,4.885396122219862,0
Transformer+GAIL+TD3,192,5893,33,3.1764630978454647,0
Transformer+GAIL+TD3,192,5893,34,7.625592164794804,0
Transformer+GAIL+TD3,192,5893,35,11.296252755326966,0
Transformer+GAIL+TD3,192,5893,36,4.105084843090528,0
Transformer+GAIL+TD3,192,5893,37,9.135503809879042,0
